"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","waterYearToInclude","waterYearToIncludeNotes","dataQF","publicationDate"
"0161ea7d-3c36-4d92-a53c-70909f797594","3c539b9b-e501-4807-9708-354f9b3be345","D01","HOPB","HOPB.AOS.discharge","THILLMAN",2017-01-19 16:33:00,2017-01-19 16:33:00,0.26,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.14,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,3,NA,NA,NA,"20200414T143350Z"
"a4170c68-6fb1-49ad-a48f-470601099441","553776b1-ef69-465d-bce1-ff30b35178c1","D01","HOPB","HOPB.AOS.discharge","ADAVILA",2017-02-01 16:19:00,2017-02-01 16:19:00,0.26,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.11,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,3,NA,NA,NA,"20200414T135632Z"
"4f8d9f17-5575-42be-992b-e9bcfc504913","fe5883fc-950f-44dd-9a4e-81a93636a7f7","D01","HOPB","HOPB.AOS.discharge","THILLMAN",2017-02-01 16:45:00,2017-02-01 16:45:00,0.26,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.1,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,2,NA,NA,NA,"20200414T135632Z"
"bf435916-691d-4ae7-9fe3-ce467ea8edbb","d70cfd87-47f7-4e25-9e47-5964fb704478","D01","HOPB","HOPB.AOS.discharge","THILLMAN",2017-02-21 16:03:00,2017-02-21 16:03:00,0.28,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.11,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,0,NA,NA,NA,"20200414T135632Z"
"688e8f7a-3395-49e1-a308-d9df36e7e51c","b4055049-a617-49fa-9265-65b9184af553","D01","HOPB","HOPB.AOS.discharge","ADAVILA",2017-02-21 16:39:00,2017-02-21 16:39:00,0.3,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.15,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,0,NA,NA,NA,"20200414T135632Z"
"2ffd94e4-6730-4fe5-9844-09c5a9729894","a0b5138e-a2da-4eea-a19e-ae50b9932d8c","D01","HOPB","HOPB.AOS.discharge","GFARIA",2017-02-28 05:16:00,2017-02-28 05:16:00,0.36,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.34,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,0,NA,NA,NA,"20200414T135632Z"
"8ad5a438-82c0-40e2-9a80-beae1ddee4c2","c6bf1547-f717-4056-9ec6-239d57a672e1","D01","HOPB","HOPB.AOS.discharge","ADAVILA",2017-02-28 16:31:00,2017-02-28 16:31:00,0.36,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",0.36,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",1,0,0,0,0,0,NA,NA,NA,"20200414T135632Z"
"ea2f4b86-2567-4dd5-9f61-10a3236323a7","3b981bd2-a301-42c2-9f3d-78764599bc8b","D01","HOPB","HOPB.AOS.discharge","ADAVILA",2017-03-23 14:57:00,2017-03-23 14:57:00,0.44,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",182.4,"litersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",0,0,0,0,0,10,NA,NA,NA,"20200414T143221Z"
"2fb28d66-39df-4312-abd3-056bed9d5d3e","b17b2b5e-b7de-4881-ae69-8b5f04d979e3","D01","HOPB","HOPB.AOS.discharge","JT",2017-03-29 15:10:00,2017-03-29 15:10:00,0.42,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",757,"litersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter","1",0,0,0,0,0,0,NA,NA,NA,"20200414T143221Z"
"9e874a96-f22f-4b86-8433-33b716f3a8b2","5162ef5a-07ac-469c-bcba-391804948aff","D01","HOPB","HOPB.AOS.discharge","JT",2017-04-10 15:12:00,2017-04-10 15:12:00,0.39,"meter","6.42438506910157e-313","6.0819481278252e-313",10,"Non-fixed","Mean-section","Right edge water",496.7,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","1",0,0,0,0,0,0,NA,NA,NA,"20200414T141013Z"
