"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","dataQF"
"ef57c30a-c4b4-4aaf-9fb9-52a2c619e28c","45c65da7-84c7-4af4-b1ec-8a9d418d8d88","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-03-01T19:10Z","2016-03-01T19:10Z",0.21,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.36,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"43f36249-1b12-42e6-9afa-e5ca068fe5b1","a0514e76-ec34-4e5e-8aa1-6f3a6b342567","D01","HOPB","HOPB.AOS.discharge","CG","2016-03-15T17:14Z","2016-03-15T17:14Z",0.33,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.73,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"515187f4-09a1-4cc8-8859-485b31008223","fb4bca35-2cb4-4a69-b192-016da5e18b50","D01","HOPB","HOPB.AOS.discharge","CG_AD","2016-03-29T17:53Z","2016-03-29T17:53Z",0.28,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.4,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"bf14c863-c8cd-41fd-aacc-0f34bc370b89","12abd255-330a-4b4f-a874-50eb3268cfe7","D01","HOPB","HOPB.AOS.discharge","CG_AD_GF","2016-04-14T14:15Z","2016-04-14T14:15Z",0.22,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.28,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,4,NA
"a8c76c2c-cbf2-4407-9c6f-656aac4213aa","fb81311f-be53-49a7-870d-4f09b63f5bcd","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-04-28T14:11Z","2016-04-28T14:11Z",0.18,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Left edge water",0.35,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"0d3b7163-fbf3-4aa0-a7b0-c0b9e97b3491","e9f9c410-2a7c-463e-b9ae-ecf670bb3fb7","D01","HOPB","HOPB.AOS.discharge","CG","2016-05-12T14:11Z","2016-05-12T14:11Z",0.16,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.12,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"d2e90c19-cb02-4e1f-b130-897ece9f36ec","3ddd6560-f704-41f3-8105-8a102ba453d2","D01","HOPB","HOPB.AOS.discharge","CG","2016-05-24T15:05Z","2016-05-24T15:05Z",0.15,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.12,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,8,NA
"f17cd713-e96f-47d7-a35b-1591d79330e1","9696eeed-5b98-4c1e-b5d3-1e059d86abe4","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-06-29T14:13Z","2016-06-29T14:13Z",0.06,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.01,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"0440fade-ab90-465b-a68d-bee7daa86c55","181923ce-2922-40e0-a813-50eb9507bb28","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-07-13T14:26Z","2016-07-13T14:26Z",0.1,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.02,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"8712d7a9-e57e-452b-9553-a2d16a6aa7d6","82facc43-4527-4354-aa25-ddfce69cfd93","D01","HOPB","HOPB.AOS.discharge","CG","2016-07-20T14:41Z","2016-07-20T14:41Z",0.07,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,4,NA
"1ab316e6-b1ae-4548-b54f-bd1863d61b34","acee10a3-b0b2-44ec-be71-5925cba4d1e2","D01","HOPB","HOPB.AOS.discharge","CG","2016-07-28T17:41Z","2016-07-28T17:41Z",0.07,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
