"uid","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","coordinateUncertainty","additionalCoordUncertainty","elevation","elevationUncertainty","geodeticDatum","altLocation","altLatitude","altLongitude","altCoordinateUncertainty","altGeodeticDatum","collectDate","aquaticSiteType","samplingImpractical","parentSampleID","eventID","samplerType","dissolvedOxygen","dissolvedOxygenSaturation","specificConductance","waterTemp","swcSamplingProtocolVersion","lowerSegmentDepth","upperSegmentDepth","maxDepth","lakeSampleDepth1","lakeSampleDepth2","aCollectedBy","bCollectedBy","remarks"
"d5347b1b-d23f-4c7d-afbc-2f488673ba8c","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-09-06T15:58Z","stream",NA,"HOPB.SS.20160906","HOPB.20160906","Grab",6.6,65,NA,16.5,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org","forgot to collect conductivity"
"d25ca09a-1e5e-44e6-9cb7-c8e39cbfb286","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-09-22T13:55Z","stream",NA,"HOPB.SS.20160922","HOPB.20160922","Grab",6.4,63,141.3,15.3,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org","no PCN collected because we did not have a lab to send to"
"496cbc60-d4a7-48ac-9368-8982d047b954","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-10-18T13:50Z","stream",NA,"HOPB.SS.20161018","HOPB.20161018","Grab",5.3,51,123.8,12.4,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org",NA
"fef00892-2f28-4c4f-bfde-86aab0f167b2","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-11-10T14:50Z","stream",NA,"HOPB.SS.20161110","HOPB.20161110","Grab",10.3,82,155.1,4.8,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","nflannery@neoninc.org",NA
"e78ba067-605b-4a85-a51d-5bd60dec4cbe","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-11-17T14:40Z","stream",NA,"HOPB.SS.20161117","HOPB.20161117","Grab",10,82,161.1,6,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","nflannery@neoninc.org",NA
"bdbb436d-481a-41f6-a6a5-14d128906846","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-12-07T14:50Z","stream",NA,"HOPB.SS.20161207","HOPB.20161207","Grab",8.6,64,148,2.1,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org",NA
"7949f7d5-aaa5-4005-914a-46e4285a9a21","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2016-12-14T14:50Z","stream",NA,"HOPB.SS.20161214","HOPB.20161214","Grab",11.4,80,149.3,0.3,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org",NA
"4936bcf6-bbe7-48a2-9b33-4421113ede82","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2017-01-17T15:30Z","stream",NA,"HOPB.SS.20170117","HOPB.20170117","Grab",11.8,81,74.8,0,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org",NA
"c684ecc7-37dd-4121-a690-257a27f0185a","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2017-01-25T15:02Z","stream",NA,"HOPB.SS.20170125","HOPB.20170125","Grab",10.5,78,130.3,1.5,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"thillman@neoninc.org","llukas@neoninc.org",NA
"de77b524-16a2-44c5-b94c-4a6ac53612b3","D01","HOPB","HOPB.AOS.S2",42.471802,-72.330656,0.3,10,213.1,0.3,"WGS84",NA,NA,NA,NA,NA,"2017-02-14T15:40Z","stream",NA,"HOPB.SS.20170214","HOPB.20170214","Grab",10.6,74,144.9,0,"NEON.DOC.002905vC",NA,NA,NA,NA,NA,"adavila@neoninc.org","thillman@neoninc.org",NA
