"siteID","collectDate","sampleID","TSS","UV Absorbance (280 nm)","TDP","TDS","SO4","Na","TOC","DOC","NO3+NO2 - N","Ortho - P","HCO3","Mn","DIC","Si","TP","CO3","Ca","conductivity","NO2 - N","Fe","F","TPC","TPN","ANC","Br","UV Absorbance (250 nm)","TDN","TN","Mg","Cl","TSS - Dry Mass","K","NH4 - N","pH"
"HOPB",2017-10-19 12:40:00,"HOPB.W2.20171019",1474,NA,NA,NA,NA,NA,1.465,NA,NA,NA,NA,NA,NA,NA,0.059,NA,NA,112.7,NA,NA,NA,0.2507,0.013,NA,NA,NA,NA,0.1983,NA,NA,73700,NA,NA,7.08
"HOPB",2017-10-19 12:45:00,"HOPB.W4.20171019",120,NA,NA,NA,NA,NA,2.659,NA,NA,NA,NA,NA,NA,NA,0.092,NA,NA,130.5,NA,NA,NA,0.2664,0.0929,NA,NA,NA,NA,0.2635,NA,NA,6000,NA,NA,6.85
"HOPB",2018-03-19 15:05:00,"HOPB.W4.20180319",24,0.0121,0.002,25.14,1.05,2.508,1.087,1.158,0.0045,4.733,6.112,0.006,2.922,3.6,0.007,0.005,4.263,34.58,0.0164,0.009,0.005,0.4668,0.1214,0.15,0.005,0.0196,0,0,0.887,9.62,1200,0.112,0.0018,5.15
"HOPB",2018-03-19 16:02:00,"HOPB.W2.20180319",150,0.0435,0.003,57.89,NA,NA,4.349,2.784,0.0168,0.093,NA,NA,5.855,NA,0.01,0.005,NA,78.89,0.0161,NA,NA,0.3614,0.124,0.18,NA,0.0639,0.0677,0.1659,NA,NA,7500,NA,0.0311,5.71
"HOPB",2018-03-19 16:35:00,"HOPB.W3.20180319",72,0.0124,0.007,41.27,NA,NA,1.486,1.032,0.0062,0.118,NA,NA,3.328,NA,0.02,0.005,NA,56.32,0.0167,NA,NA,0.3614,0.124,0.17,NA,0.0182,0,0,NA,NA,3600,NA,0.0082,5.77
"HOPB",2018-08-14 14:01:00,"HOPB.W4.20180814",34,0.0162,0.0257,20.96,5.586,1.906,3.085,1.721,0.0135,0.126,9.99,0.009,5.105,5.1898,0.0703,0.005,2.4489,29.41,0.0218,5e-04,0.005,0.5949,0.1281,0.18,0.005,0.032,0.1031,0.1782,0.998,0.28,1700,5e-04,0.0192,5.95
"HOPB",2019-03-12 15:39:00,"HOPB.W2.20190312",154,0.0524,NA,NA,NA,NA,5.713,3.111,0.0837,0.037,NA,NA,7.742,NA,1.122,NA,NA,72.14,0,NA,NA,NA,NA,0.73,NA,0.0743,0.3556,0.5712,NA,NA,7700,NA,0.1415,6.71
"HOPB",2019-03-12 16:14:00,"HOPB.W3.20190312",508,0.0187,NA,NA,NA,NA,2.901,1.161,0,0.057,NA,NA,4.883,NA,2.139,NA,NA,56.21,0.0394,NA,NA,0.365,0.0667,0.62,NA,0.0245,0.1491,0.271,NA,NA,25400,NA,0.1012,6.9
"HOPB",2019-03-12 17:04:00,"HOPB.W4.20190312",118,0.0078,5e-04,20.56,4.308,1.569,2.232,0.8952,0,0.037,8.42,0.005,7.127,3.8995,0.347,0.005,2.806,28.41,0.0388,5e-04,0.005,0.3654,0.1077,0.15,0.005,0.0128,0.153,0.2651,0.806,1.5948,5900,0.064,0.0923,6.57
"HOPB",2019-08-13 15:11:00,"HOPB.W2.20190813",NA,0.0785,NA,NA,NA,NA,NA,3.562,0.0492,0,NA,NA,10.27,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.1158,0.3364,NA,NA,NA,NA,NA,0.1443,NA
