"siteID","sampleID","collectDate","Br","Ca","Cl","DIC","DOC","F","Fe","K","Mg","Mn","Na","NH4 - N","NO3+NO2 - N","pH","Si","SO4","TDP","TDS"
"HOPB","HOPB.W4.20180319",2018-03-19 15:05:00,0.005,4.263,9.62,2.922,1.158,0.005,0.009,0.112,0.887,0.006,2.508,0.0018,0.0045,5.15,3.6,1.05,0.002,25.14
"HOPB","HOPB.W4.20180814",2018-08-14 14:01:00,0.005,2.4489,0.28,5.105,1.721,0.005,5e-04,5e-04,0.998,0.009,1.906,0.0192,0.0135,5.95,5.1898,5.586,0.0257,20.96
"HOPB","HOPB.W4.20190312",2019-03-12 17:04:00,0.005,2.806,1.5948,7.127,0.8952,0.005,5e-04,0.064,0.806,0.005,1.569,0.0923,0.0135,6.57,3.8995,4.308,5e-04,20.56
"LEWI","LEWI.W1.20170308",2017-03-08 14:56:00,0.005,102.119,14.4123,81.78,0.7523,0.2376,0.0024,1.921,24.5921,0.0089,5.9971,0.041,1.575,7.38,5.8513,21.9336,0.0025,490.5
"LEWI","LEWI.W8.20170308",2017-03-08 16:12:00,0.005,145.4885,13.4723,105.72,1.469,0.1497,1.7373,1.1432,15.8976,0.3335,3.0096,0.175,0.028,7.21,3.9958,15.7701,0.0025,579.3
"LEWI","LEWI.W6.20170308",2017-03-08 17:20:00,0.005,113.2775,14.9692,95.28,0.9726,0.2804,0.8097,0.8912,27.2204,1.3328,4.3638,0.004,0.008,7.31,5.8787,17.5751,0.005,564.3
"LEWI","LEWI.W3.20170308",2017-03-08 18:49:00,0.005,97.8087,8.4028,79.64,0.8035,0.1762,0.0206,1.2907,21.1906,1.981,2.5733,0.041,0.179,7.36,5.3403,15.0478,0.0025,441.1
"LEWI","LEWI.W1.20170823",2017-08-23 14:36:00,0.005,39.65,12.4022,81.01,0.4189,0.275,0.0047,3.4363,26.332,9e-04,7.6112,0.0488,1.5472,8.09,2.512,21.0727,5e-04,329.8
"LEWI","LEWI.W8.20170823",2017-08-23 15:17:00,0.005,38.33,8.1968,95.36,1.076,0.2441,0.0026,2.3259,21.976,5e-04,5.9169,0.3919,0.0317,7.86,1.9866,16.0037,5e-04,286.5
"LEWI","LEWI.W6.20170823",2017-08-23 17:05:00,0.005,43.704,8.2188,96.37,0.9184,0.3045,0.0051,1.5539,27.655,5e-04,4.0715,0.1334,0.0322,7.76,2.2497,15.9911,5e-04,331.2
