"site","lat","lon","group"
"ARIK",39.75825,-102.4471,"7"
"BIGC",37.058,-119.256,"3"
"BLDE",44.95011,-110.58715,"3"
"BLUE",34.44422,-96.6242,"6"
"BLWA",32.54153,-87.79815,"4"
"CARI",65.15306,-147.50246,"4"
"COMO",40.03496,-105.54487,"1"
"CUPE",18.11352,-66.98676,"5"
"FLNT",31.18542,-84.4374,"4"
"GUIL",18.1741,-66.79851,"5"
"HOPB",42.47179,-72.32963,"4"
"KING",39.10506,-96.60336,"6"
"LECO",35.69043,-83.50379,"2"
"LEWI",39.09564,-77.98322,"6"
"MART",45.79125,-121.93196,"2"
"MAYF",32.95966,-87.40813,"1"
"MCDI",38.94428,-96.44197,"6"
"MCRA",44.2596,-122.16555,"2"
"OKSR",68.66975,-149.14302,"1"
"POSE",38.89332,-78.14678,"5"
"PRIN",33.37859,-97.78226,"7"
"REDB",40.78374,-111.79765,"6"
"SYCA",33.74906,-111.5069,"7"
"TECR",36.95528,-119.02699,"2"
"TOMB",31.8521,-88.16107,"4"
"WALK",35.95947,-84.28041,"5"
"WLOU",39.89137,-105.9154,"5"
