"siteID","sampleID","collectDate","ANC","Mg","NO2 - N","TPC","Si","Mn","HCO3","DOC","TN","Cl","UV Absorbance (280 nm)","conductivity","Ca","Br","TDP","TOC","NH4 - N","DIC","TPN","TP","TDN","Ortho - P","pH","CO3","F","NO3+NO2 - N","K","UV Absorbance (250 nm)","Fe","Na","TSS - Dry Mass","SO4","TDS","TSS"
"HOPB","HOPB.SS.20170117",2017-01-17 15:30:00,0.54,1.47,0.011,0.2566,5.1956,0.018,24.99,2.77,0.2222,25.89,0.0325,123.8,5.42,0,0.002,2.076,0.006,1.589,0.0782,0.003,0.2222,0.032,6.83,0.005,5e-04,0.071,0.72,0.058,0.058,19.12,0,5.11,85.67,0
"HOPB","HOPB.SS.20170125",2017-01-25 15:02:00,0.258,1.3032,0.007,0.2478,4.8452,0.0145,12.34,2.327,0.1408,29.52,0.0558,122.5,4.881,5e-04,0.001,2.312,0.077,1.238,0.0739,0.004,0.1525,0.027,6.87,0.005,0.111,0.037,0.7027,0.0831,0.6002,19.1089,0,6.4768,84.25,0
"HOPB","HOPB.SS.20170214",2017-02-14 15:40:00,0.369,1.3596,0.015,0.2815,4.7967,0.0155,21.58,1.862,0.1436,22.56,0.0512,112.3,5.0045,5e-04,5e-04,2.174,0.12,1.723,0,0.001,0.1604,0.031,6.74,0.005,0.168,0.079,0.6707,0.0695,0.0575,16.584,0,4.18,78.74,0
"HOPB","HOPB.SS.20170221",2017-02-21 14:55:00,0.052,1.4057,0.015,0.2855,4.7315,0.0207,2.62,2.037,0.1375,35.02,0.0734,121.4,5.2419,0.005,0.0035,2.205,0.032,1.612,0.0714,0.0184,0.0025,0.03,6.87,0.005,0.005,0.066,0.6411,0.0969,0.0714,18.3315,0,6.7081,83.47,0
"HOPB","HOPB.SS.20170306",2017-03-06 15:35:00,0.389,NA,NA,0.5441,NA,NA,21.85,NA,0.1827,NA,0.0541,141.64,NA,NA,NA,NA,NA,NA,0.0712,NA,0.1913,NA,6.75,0.005,NA,0.045,NA,0.0704,NA,NA,100,NA,NA,NA
"HOPB","HOPB.SS.20170316",2017-03-16 14:30:00,0.215,1.1001,0.009,0.438,4.7233,0.0145,13.014,1.818,0.2299,25.21,0.0396,101.28,4.2903,0.005,0.001,1.801,0.02,1.559,0.104,0.012,0.1926,0.023,6.71,0.005,0.005,0.085,0.3928,0.0547,0.4092,15.8569,0,3.42,71.23,0
"HOPB","HOPB.SS.20170320",2017-03-20 13:00:00,0.169,1.1192,0.008,0.2836,4.7355,0.0141,6.521,1.592,0.0276,25.89,0.041,97.53,4.2756,0.005,0.001,1.579,0.021,1.392,0.0838,0.008,0.1817,0.022,6.83,0.005,0.005,0.069,0.382,0.0624,0.4548,15.3456,0,4.25,67.94,0
"HOPB","HOPB.SS.20170329",2017-03-29 15:35:00,0.083,0.985,0.009,0.4804,3.6564,0.0156,4.862,3.485,0.1998,27.5456,0.077,97.42,4.121,0.005,0.005,3.346,0,1.178,0.1422,0.009,0.2584,0.023,6.76,0.005,0.005,0.056,0.312,0.1197,0.5353,15.421,100,4.9753,67.85,4
"HOPB","HOPB.SS.20170405",2017-04-05 14:05:00,0.01,0.799,0.021,0.395,4.11,0.01,0.41,3.469,0.2263,24.3,0.0928,76,3.013,0.005,0.001,3.291,0,0.9246,0.0258,0.001,0.1969,0.024,6.66,0,0.005,0.036,0.476,0.1299,0.041,13.053,100,4.56,52.2,4
"HOPB","HOPB.SS.20170411",2017-04-11 13:30:00,0.03,0.986,0.004,0.2918,5.59,0.01,1.32,2.577,0.1585,28.72,0.0921,96.6,3.758,0.005,0.002,2.522,0.031,1.309,0.007,0.006,0.1622,0.018,6.98,0,0,0.038,0.536,0.1207,0.039,15.457,100,5.43,66.5,4
