"siteID","sampleID","collectDate","DIC","HCO3","Si","SO4","pH","TPN","Cl","CO3","NO2_N","TPC","UV_Absorbance_280_nm","Fe","DOC","Mn","TSS","TSS_Dry.Mass","K","Ca","TP","F","TOC","TDP","TDS","Mg","ANC","NO3_NO2_N","OrthoP","NH4_N","UV_Absorbance_250_nm","TDN","conductivity","Na","TN","Br","specificConductance"
"HOPB","HOPB.SS.20170405","4/5/17 14:05",0.9246,0.41,4.11,4.56,6.66,0.0258,24.3,0,0.021,0.395,0.0928,0.041,3.469,0.01,4,100,0.476,3.013,0.001,0.005,3.291,0.001,52.2,0.799,0.01,0.036,0.024,0,0.1299,0.1969,76,13.053,0.2263,0.005,NA
"HOPB","HOPB.SS.20170411","4/11/17 13:30",1.309,1.32,5.59,5.43,6.98,0.007,28.72,0,0.004,0.2918,0.0921,0.039,2.577,0.01,4,100,0.536,3.758,0.006,0,2.522,0.002,66.5,0.986,0.03,0.038,0.018,0.031,0.1207,0.1622,96.6,15.457,0.1585,0.005,NA
"HOPB","HOPB.SS.20170417","4/17/17 13:30",1.655,27.46,2.06,4.58,6.87,0.0808,15.96,0,0.003,0.2703,0.0604,0.058,2.911,0.013,0,0,0.585,4.361,0.009,0.005,2.751,0.005,77.5,1.099,0.47,0.034,0.017,0.062,0.087,0.1434,112.6,15.982,0.1732,0.005,NA
"HOPB","HOPB.SS.20170426","4/26/17 14:15",1.553,38.954,3.9144,4.7985,7.12,0.1792,0.5065,0,0.017,1.386,0.1015,0.0798,3.736,0.0097,0,0,0.5712,4.0259,0.004,0.005,3.362,0.002,65.82,1.0022,0.742,0.016,0.018,0.044,0.1445,0.1929,92.56,12.61,0.2087,6.7595,NA
"HOPB","HOPB.SS.20180306","3/6/18 14:34",1.194,17.98,3.93,3.67,7.31,0.1018,28.53,0.005,0.0159,0.3078,0.0529,0.034,1.801,0.007,0,0,0.612,5.856,0.001,0.005,1.748,5e-04,86.4,0.922,0.41,0.05,0.015,0.0315,0.0736,0.0383,122.2,18.431,0.0433,0.005,NA
"HOPB","HOPB.SS.20180312","3/12/18 14:52",1.193,6.72,4.11,5.93,6.04,0.013,30.9,0.005,0.0169,0.2613,0.0597,0.036,1.843,0.009,0,0,0.538,5.235,0.01,0.005,1.863,0.007,93.7,1.465,0.18,0.0467,0.07,0,0.0923,0.0459,124.1,16.581,0.025,0.005,NA
"HOPB","HOPB.SS.20180319","3/19/18 14:21",1.259,7.48,4.2,2.05,5.79,0.0847,48.24,0.005,0.016,0.3424,0.0391,0.045,1.789,0.013,0,0,0.59,8.523,0.005,0.005,1.761,0.001,99.64,3.061,0.19,0.0498,0.092,0.0172,0.0575,0.0153,140.6,19.524,0.0218,0.005,NA
"HOPB","HOPB.SS.20180329","3/29/18 14:10",1.131,8.85,3.56,5.47,6.53,0.06,27.86,0.005,0.0131,0.3716,0.0632,0.05,6.26,0.008,0,0,0.366,6.721,0.035,0.005,6.886,0,85.36,2.852,0.16,0.0487,0.063,0,0.0949,1.134,119.2,10.895,1.342,0.005,NA
"HOPB","HOPB.SS.20190306","3/6/19 14:52",1.474,9.75,4.9681,5.895,6.82,0.0121,20.21,0.005,0.0397,0.3311,0.0058,0.0296,1.177,0.013,4,200,0.58,4.1685,0.131,0.005,1.269,5e-04,61.34,1.027,0.25,0.0409,0.036,0.0939,0.009,0.1346,86.94,12.65,0.1561,0.005,NA
"HOPB","HOPB.SS.20190306.2","3/6/19 14:52",NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,200,NA,NA,0.138,NA,1.155,NA,NA,NA,0.24,NA,NA,NA,NA,NA,85.47,NA,0.1757,NA,NA
"HOPB","HOPB.SS.20190312","3/12/19 14:12",1.458,9.97,4.6643,5.502,7.63,0.0674,25.2199,0.005,0.0397,0.2858,0.0287,0.034,1.398,0.017,2,100,0.526,4.6532,0.158,0.005,1.603,0.008,69.51,1.139,0.18,0.0363,0,0.0949,0.0411,0.2209,100.89,15.61,0.2325,0.34,NA
"HOPB","HOPB.SS.20190321","3/21/19 14:35",1.322,6.42,4.0975,5.07,6.64,0.0928,20.8198,0.005,0,0.3173,0.0306,0.0373,1.515,0.012,2,100,0.448,3.6229,0.016,0.005,1.549,0.0225,58.94,0.891,0.18,0.024,0.035,0.2056,0.0473,0.164,82.42,12.63,0.1791,0.83,NA
"HOPB","HOPB.SS.20190328","3/28/19 13:54",1.275,11.08,4.403,5.58,6.18,0.0322,20.2429,0.005,0,0.3383,0.0364,0.0377,1.347,0.007,0,0,0.375,3.6944,0.038,0.005,1.437,5e-04,62.81,0.961,0.25,0,0.039,0.0228,0.0513,0.1089,87.41,13.55,0.146,0.005,NA
"LEWI","LEWI.SS.20170111","1/11/17 14:30",68.85,390.52,5.5493,21,8.02,0.0886,27.14,0.005,0.013,0.2855,0.0282,0,0.7354,0.006,0,0,3.38,101.02,0.004,5e-04,0.8159,0.001,527.43,21.96,7.26,2.687,0.032,0.011,0.0332,2.73,755.9,13.18,2.736,0,NA
"LEWI","LEWI.SS.20170125","1/25/17 15:16",69.07,361.62,5.7414,20.5958,8.02,0.0297,21.9948,0.005,0.016,0.5132,0.0241,0.0542,1.514,0.008,32,800,4.0692,97.2485,0.007,0.0877,1.806,0.002,493.81,18.8445,5.997,2.748,0.027,0.095,0.0393,2.936,707.1,11.3505,2.91,5e-04,NA
"LEWI","LEWI.SS.20171205","12/5/17 15:52",72.98,229.85,0.25,22.03,7.92,0.0728,25.7,0.005,0.0067,0.3627,0.0199,5e-04,0.9565,5e-04,4,200,3.146,58.242,0.025,0.005,0.8439,0.019,365.5,19.963,3.954,2.4722,0.01,0.1182,0.0247,2.611,725.8,10.461,2.669,0.005,NA
"LEWI","LEWI.SS.20171213","12/13/17 16:44",64.76,277.13,0.205,17.54,7.96,0.0909,27.13,0.005,0.0177,0.3687,0.0148,5e-04,1.032,5e-04,2,100,3.151,74.973,0.021,0.49,1.038,0.019,410.1,19.149,4.654,2.0742,0.01,0.1973,0.0255,1.966,659.2,9.524,2.034,0.005,NA
"LEWI","LEWI.SS.20190109","1/9/19 14:57",70.19,163.56,8.13,24.7,7.73,0.1018,10.73,0.005,0.0557,0.4941,0.0177,5e-04,1.676,5e-04,16,800,3.628,26.215,0.1772,2.5,1.132,0.009,257.41,22.65,2.95,3.9019,0,0,0.0265,3.282,366.52,8.387,3.332,0.03,NA
